scope,level,category_id,recent_count,recent_total,recent_rate_pct,baseline_count,baseline_total,baseline_rate_pct,pp_delta,ratio,verdict,flagged_spike,flagged_decline,emerging
app_store,subcategory,upsell_pressure,4,378,1.058,11,206,5.34,-4.282,0.2,insufficient_recent_occurrences,False,False,False
combined_overlap,parent,ai_coach,77,591,13.029,53,735,7.211,5.818,1.81,spike,True,False,False
combined_overlap,parent,app_stability,35,591,5.922,80,735,10.884,-4.962,0.54,decline,False,True,False
combined_overlap,parent,customer_support,48,591,8.122,88,735,11.973,-3.851,0.68,stable,False,False,False
combined_overlap,parent,data_accuracy,70,591,11.844,88,735,11.973,-0.128,0.99,stable,False,False,False
combined_overlap,parent,feature_requests,81,591,13.706,74,735,10.068,3.638,1.36,stable,False,False,False
combined_overlap,parent,hardware_wearability,31,591,5.245,42,735,5.714,-0.469,0.92,stable,False,False,False
combined_overlap,parent,health_signal_reliability,10,591,1.692,18,735,2.449,-0.757,0.69,stable,False,False,False
combined_overlap,parent,localization,16,591,2.707,15,735,2.041,0.666,1.33,stable,False,False,False
combined_overlap,parent,platform_parity,8,591,1.354,13,735,1.769,-0.415,0.77,stable,False,False,False
combined_overlap,parent,pricing_billing,134,591,22.673,185,735,25.17,-2.497,0.9,stable,False,False,False
combined_overlap,parent,sleep_tracking,95,591,16.074,94,735,12.789,3.285,1.26,stable,False,False,False
combined_overlap,parent,sync_connectivity,34,591,5.753,67,735,9.116,-3.363,0.63,decline,False,True,False
combined_overlap,parent,ui_ux,65,591,10.998,104,735,14.15,-3.151,0.78,stable,False,False,False
combined_overlap,subcategory,activity_detection,27,591,4.569,23,735,3.129,1.439,1.46,stable,False,False,False
combined_overlap,subcategory,ai_autonomy,11,591,1.861,11,735,1.497,0.365,1.24,stable,False,False,False
combined_overlap,subcategory,ai_only_support_channel,9,591,1.523,23,735,3.129,-1.606,0.49,stable,False,False,False
combined_overlap,subcategory,ai_positive_reception,35,591,5.922,19,735,2.585,3.337,2.29,spike,True,False,False
combined_overlap,subcategory,ai_reliability_bugs,35,591,5.922,23,735,3.129,2.793,1.89,spike,True,False,False
combined_overlap,subcategory,android_feature_gaps,4,591,0.677,3,735,0.408,0.269,1.66,insufficient_recent_occurrences,False,False,False
combined_overlap,subcategory,android_specific_bugs,4,591,0.677,11,735,1.497,-0.82,0.45,insufficient_recent_occurrences,False,False,False
