period,period_type,period_start,period_end,source,category_id,tag_count,total_reviews,rate_pct,adequate_volume,is_current_partial,in_recent_window,scope,rolling_baseline_rate_pct,flagged_spike,flagged_decline,verdict
2017-08_to_2019-02,multi_month,2017-08,2019-02,google_play,third_party_integration,0,38,0.0,True,False,False,google_play,,False,False,
2017-08_to_2019-02,multi_month,2017-08,2019-02,google_play,update_failures,1,38,2.632,True,False,False,google_play,,False,False,
2017-08_to_2019-02,multi_month,2017-08,2019-02,google_play,upsell_pressure,0,38,0.0,True,False,False,google_play,,False,False,
2019-03_to_2019-07,multi_month,2019-03,2019-07,google_play,ai_coach,0,33,0.0,True,False,False,google_play,,False,False,
2019-03_to_2019-07,multi_month,2019-03,2019-07,google_play,app_stability,4,33,12.121,True,False,False,google_play,,False,False,
2019-03_to_2019-07,multi_month,2019-03,2019-07,google_play,customer_support,3,33,9.091,True,False,False,google_play,,False,False,
2019-03_to_2019-07,multi_month,2019-03,2019-07,google_play,data_accuracy,3,33,9.091,True,False,False,google_play,,False,False,
2019-03_to_2019-07,multi_month,2019-03,2019-07,google_play,feature_requests,6,33,18.182,True,False,False,google_play,,False,False,
2019-03_to_2019-07,multi_month,2019-03,2019-07,google_play,hardware_wearability,2,33,6.061,True,False,False,google_play,,False,False,
2019-03_to_2019-07,multi_month,2019-03,2019-07,google_play,health_signal_reliability,0,33,0.0,True,False,False,google_play,,False,False,
2019-03_to_2019-07,multi_month,2019-03,2019-07,google_play,localization,0,33,0.0,True,False,False,google_play,,False,False,
2019-03_to_2019-07,multi_month,2019-03,2019-07,google_play,platform_parity,15,33,45.455,True,False,False,google_play,,False,False,
2019-03_to_2019-07,multi_month,2019-03,2019-07,google_play,pricing_billing,5,33,15.152,True,False,False,google_play,,False,False,
2019-03_to_2019-07,multi_month,2019-03,2019-07,google_play,sleep_tracking,4,33,12.121,True,False,False,google_play,,False,False,
2019-03_to_2019-07,multi_month,2019-03,2019-07,google_play,sync_connectivity,10,33,30.303,True,False,False,google_play,,False,False,
2019-03_to_2019-07,multi_month,2019-03,2019-07,google_play,ui_ux,0,33,0.0,True,False,False,google_play,,False,False,
2019-03_to_2019-07,multi_month,2019-03,2019-07,google_play,activity_detection,2,33,6.061,True,False,False,google_play,,False,False,
2019-03_to_2019-07,multi_month,2019-03,2019-07,google_play,ai_autonomy,0,33,0.0,True,False,False,google_play,,False,False,
2019-03_to_2019-07,multi_month,2019-03,2019-07,google_play,ai_only_support_channel,0,33,0.0,True,False,False,google_play,,False,False,
2019-03_to_2019-07,multi_month,2019-03,2019-07,google_play,ai_positive_reception,0,33,0.0,True,False,False,google_play,,False,False,
